#r 	ccsd	SVWN	pbe0	pbe	m062x	hse06	m11
1.495910	0.644515	0.658161	0.661694	0.662803	0.672502	0.661272	0.659604
1.514808	0.654211	0.667880	0.671529	0.672610	0.682468	0.671103	0.669471
1.533705	0.663704	0.677385	0.681143	0.682196	0.692197	0.680713	0.679122
1.552602	0.672967	0.686653	0.690513	0.691537	0.701666	0.690079	0.688531
1.571688	0.681980	0.695660	0.699614	0.700610	0.710851	0.699178	0.697675
1.590586	0.690721	0.704387	0.708428	0.709394	0.719732	0.707991	0.706536
1.609483	0.699173	0.712816	0.716937	0.717873	0.728292	0.716498	0.715093
1.628380	0.707320	0.720931	0.725124	0.726029	0.736515	0.724684	0.723333
1.647278	0.715148	0.728718	0.732975	0.733851	0.744387	0.732536	0.731240
1.666364	0.722645	0.736165	0.740480	0.741324	0.751896	0.740040	0.738803
1.685261	0.729799	0.743261	0.747626	0.748439	0.759031	0.747188	0.746011
1.704159	0.736602	0.749998	0.754405	0.755187	0.765785	0.753969	0.752855
1.723056	0.743047	0.756369	0.760811	0.761562	0.772149	0.760377	0.759327
1.741953	0.749128	0.762366	0.766837	0.767556	0.778120	0.766406	0.765423
1.761039	0.754839	0.767987	0.772479	0.773166	0.783691	0.772051	0.771136
1.779937	0.760178	0.773227	0.777733	0.778388	0.788861	0.777310	0.776465
1.798834	0.765142	0.778084	0.782597	0.783220	0.793628	0.782179	0.781407
1.817731	0.769729	0.782557	0.787072	0.787662	0.797991	0.786658	0.785960
1.836629	0.773940	0.786647	0.791156	0.791714	0.801951	0.790748	0.790125
1.855715	0.777776	0.790354	0.794851	0.795377	0.805509	0.794449	0.793903
1.874612	0.781237	0.793680	0.798158	0.798652	0.808668	0.797764	0.797296
1.893509	0.784328	0.796627	0.801082	0.801543	0.811432	0.800694	0.800305
1.912407	0.787049	0.799200	0.803625	0.804053	0.813803	0.803244	0.802936
1.931304	0.789406	0.801401	0.805791	0.806187	0.815786	0.805419	0.805192
1.950390	0.791404	0.803236	0.807586	0.807950	0.817388	0.807222	0.807078
1.969288	0.793046	0.804711	0.809014	0.809346	0.818614	0.808659	0.808598
1.988185	0.794340	0.805830	0.810083	0.810382	0.819471	0.809737	0.809760
2.007082	0.795290	0.806600	0.810798	0.811065	0.819965	0.810461	0.810569
2.025980	0.795903	0.807028	0.811166	0.811401	0.820104	0.810839	0.811032
2.045066	0.796186	0.807121	0.811195	0.811398	0.819896	0.810878	0.811156
2.063963	0.796146	0.806886	0.810892	0.811063	0.819348	0.810585	0.810949
2.082860	0.795791	0.806330	0.810265	0.810404	0.818469	0.809969	0.810418
2.101758	0.795128	0.805462	0.809321	0.809429	0.817268	0.809036	0.809571
2.120655	0.794165	0.804290	0.808070	0.808146	0.815753	0.807796	0.808416
2.139741	0.792910	0.802821	0.806519	0.806564	0.813933	0.806256	0.806962
2.158639	0.791370	0.801064	0.804677	0.804692	0.811816	0.804426	0.805217
2.177536	0.789555	0.799028	0.802553	0.802537	0.809413	0.802313	0.803190
2.196433	0.787472	0.796720	0.800155	0.800108	0.806732	0.799927	0.800888
2.215330	0.785129	0.794150	0.797492	0.797415	0.803782	0.797276	0.798321
2.234417	0.782535	0.791326	0.794573	0.794466	0.800573	0.794369	0.795497
2.253314	0.779699	0.788256	0.791406	0.791270	0.797113	0.791214	0.792424
2.272211	0.776628	0.784949	0.788000	0.787835	0.793412	0.787821	0.789113
2.291109	0.773331	0.781414	0.784364	0.784170	0.789479	0.784197	0.785570
2.310006	0.769816	0.777658	0.780507	0.780284	0.785323	0.780352	0.781804
2.329092	0.766091	0.773691	0.776437	0.776186	0.780952	0.776294	0.777825
2.347990	0.762164	0.769521	0.772162	0.771883	0.776377	0.772031	0.773640
2.366887	0.758044	0.765155	0.767691	0.767385	0.771604	0.767573	0.769257
2.385784	0.753738	0.760602	0.763032	0.762699	0.766644	0.762926	0.764685
2.404681	0.749253	0.755871	0.758193	0.757834	0.761504	0.758100	0.759932
2.423768	0.744599	0.750968	0.753183	0.752798	0.756193	0.753102	0.755006
2.442665	0.739781	0.745902	0.748009	0.747598	0.750720	0.747940	0.749915
2.461562	0.734808	0.740681	0.742679	0.742244	0.745091	0.742622	0.744666
2.480460	0.729688	0.735311	0.737201	0.736741	0.739316	0.737156	0.739267
2.499357	0.724426	0.729801	0.731582	0.731098	0.733402	0.731550	0.733726
2.518443	0.719031	0.724158	0.725830	0.725323	0.727357	0.725809	0.728049
2.537340	0.713509	0.718388	0.719952	0.719422	0.721189	0.719943	0.722245
2.556238	0.707868	0.712499	0.713956	0.713403	0.714904	0.713958	0.716320
2.575135	0.702113	0.706498	0.707847	0.707273	0.708510	0.707861	0.710280
2.594032	0.696252	0.700392	0.701633	0.701038	0.702014	0.701658	0.704134
2.613119	0.690291	0.694186	0.695321	0.694706	0.695422	0.695357	0.697887
2.632016	0.684235	0.687888	0.688917	0.688282	0.688743	0.688964	0.691546
2.650913	0.678092	0.681504	0.682427	0.681773	0.681982	0.682485	0.685117
2.669811	0.671867	0.675039	0.675858	0.675186	0.675145	0.675927	0.678607
2.688708	0.665566	0.668501	0.669216	0.668526	0.668239	0.669296	0.672021
2.707794	0.659195	0.661894	0.662507	0.661800	0.661271	0.662597	0.665366
2.726691	0.652760	0.655225	0.655736	0.655013	0.654245	0.655836	0.658647
2.745589	0.646265	0.648499	0.648910	0.648170	0.647168	0.649020	0.651870
